Year,State,<1,1-4,5-9,10-14,15-19,20-24,25-44,45-49,50-59,60-64,65+,Total
2009,Quintana Roo,0.0,0.0,0.0,0.0,0.0,2.97,3.57,6.17,15.17,0.0,5.3,2.91
2009,San Luis Potosí,0.0,0.0,0.0,0.0,0.0,1.73,26.08,69.08,75.81,53.25,48.61,22.07
2009,Sinaloa,0.0,0.0,0.0,0.0,0.0,3.45,17.42,59.55,66.21,55.4,56.5,20.19
2009,Sonora,0.0,0.0,0.0,0.0,0.0,3.8,7.88,78.15,46.92,45.43,45.04,15.59
2009,Tabasco,0.0,0.0,0.0,0.0,0.0,0.0,1.82,14.12,32.44,49.1,23.79,6.04
2009,Tamaulipas,0.0,0.0,0.0,0.0,0.0,1.44,11.49,38.31,63.87,79.98,51.16,16.8
2009,Tlaxcala,0.0,0.0,0.0,0.0,1.75,0.0,2.19,6.49,23.68,21.59,11.89,4.1
2009,Veracruz,0.0,0.8,0.0,0.55,0.55,3.32,24.35,72.61,73.5,92.26,65.24,25.97
2009,Yucatán,0.0,0.0,0.0,0.0,0.0,4.36,15.17,52.8,42.65,44.56,43.71,15.82
2009,Zacatecas,0.0,0.0,0.0,0.0,2.81,1.54,22.72,74.84,65.38,99.79,63.85,23.56
2009,TOTAL GLOBAL,0.0,0.11,0.04,0.09,0.31,1.78,12.87,44.2,50.92,60.58,44.95,15.41
2010,Aguascalientes,0.0,0.0,1.69,0.0,0.0,0.0,15.4,39.04,47.54,60.42,70.6,15.93
2010,Baja California,0.0,0.0,0.0,0.0,0.0,2.11,17.45,38.1,77.66,101.49,78.09,20.56
2010,Baja California Sur,0.0,5.28,0.0,0.0,0.0,0.0,7.54,18.16,22.46,0.0,7.7,6.17
2010,Campeche,0.0,0.0,0.0,0.0,0.0,0.0,6.15,26.46,55.72,95.14,65.49,18.4
2010,Coahuila,0.0,0.0,0.0,0.0,4.07,0.88,15.7,77.76,80.74,78.55,40.6,21.59
2010,Colima,0.0,0.0,0.0,0.0,0.0,0.0,5.18,16.09,3.71,11.31,26.0,4.95
